log_name,max_l2_dist,min_l2_dist,mean_l2_dist,max_cos_dist,min_cos_dist,mean_cos_dist
task_random_3,14.8,10.99,12.43,1.0,-0.2,0.02
task_margin_3,14.91,11.39,12.58,1.0,-0.19,0.01
task_lc_3,15.0,10.44,11.96,1.0,-0.31,0.03
task_entropy_3,15.41,11.69,12.46,1.0,-0.17,0.02
task-domain_random_3,14.95,10.11,12.15,1.0,-0.21,0.02
task-domain_lc_3,14.81,10.18,12.25,1.0,-0.25,0.03
task-domain_entropy_3,15.28,10.61,12.09,1.0,-0.31,0.03
task-domain_margin_3,14.84,9.89,11.83,1.0,-0.2,0.02
task_margin_4,14.95,11.64,12.64,1.0,-0.19,0.01
task_random_4,15.26,11.62,12.67,1.0,-0.19,0.01
task_lc_4,14.87,10.56,12.2,1.0,-0.22,0.02
task-domain_random_4,14.93,8.58,12.09,1.0,-0.27,0.03
task-domain_margin_4,15.25,10.4,12.15,1.0,-0.25,0.02
task_entropy_4,15.05,10.41,12.42,1.0,-0.2,0.04
task-domain_entropy_4,14.97,10.07,12.35,1.0,-0.25,0.02
task-domain_lc_4,14.45,8.74,11.77,1.0,-0.3,0.04
domain_random_0,4.57,1.59,2.74,1.0,-0.1,0.43
domain_lc_0,4.11,1.22,2.41,1.0,-0.03,0.46
domain_entropy_0,5.38,1.32,2.76,1.0,-0.03,0.5
domain_margin_0,4.07,1.66,2.52,1.0,0.12,0.56
domain_random_1,5.69,2.53,3.82,1.0,-0.12,0.23
domain_lc_1,5.39,2.45,3.67,1.0,-0.11,0.26
domain_margin_1,5.22,3.03,3.79,1.0,-0.19,0.22
domain_entropy_1,5.94,2.27,3.69,1.0,-0.1,0.27
domain_random_2,5.69,3.3,4.41,1.0,-0.18,0.16
domain_margin_2,5.94,3.45,4.49,1.0,-0.25,0.15
domain_lc_2,5.42,1.92,3.84,1.0,-0.22,0.24
domain_entropy_2,5.76,2.96,4.11,1.0,-0.32,0.19
domain_random_3,5.81,3.64,4.54,1.0,-0.18,0.15
domain_margin_3,6.14,4.25,4.76,1.0,-0.19,0.16
domain_lc_3,6.48,3.8,4.69,1.0,-0.2,0.18
domain_entropy_3,6.87,3.7,4.72,1.0,-0.25,0.14
domain_margin_4,6.67,4.34,5.08,1.0,-0.2,0.12
domain_random_4,6.39,4.41,4.91,1.0,-0.2,0.13
domain_lc_4,6.58,3.93,4.97,1.0,-0.3,0.13
domain_entropy_4,6.51,4.03,5.0,1.0,-0.27,0.15
baseline_entropy_1,14.79,5.84,11.11,1.0,-0.26,0.04
baseline_margin_1,14.54,5.97,10.19,1.0,-0.26,0.13
baseline_random_1,14.1,7.56,10.75,1.0,-0.3,0.06
baseline_lc_1,14.8,7.85,11.33,1.0,-0.3,0.03
baseline_entropy_2,14.86,8.68,11.9,1.0,-0.2,0.02
baseline_margin_2,14.35,8.1,11.02,1.0,-0.2,0.08
baseline_random_2,14.6,10.07,11.77,1.0,-0.24,0.03
baseline_lc_2,14.57,7.55,11.07,1.0,-0.25,0.07
baseline_entropy_3,14.66,10.86,12.2,1.0,-0.2,0.02
baseline_margin_3,14.7,10.4,12.09,1.0,-0.24,0.03
baseline_random_3,14.89,10.55,12.43,1.0,-0.19,0.02
baseline_lc_3,14.89,10.78,12.23,1.0,-0.2,0.03
baseline_entropy_4,15.59,10.78,12.47,1.0,-0.21,0.02
baseline_random_4,14.59,9.76,11.96,1.0,-0.27,0.05
baseline_margin_4,15.46,11.26,12.64,1.0,-0.18,0.02
baseline_lc_4,15.05,11.3,12.43,1.0,-0.18,0.02
